name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,nutrient_grade,allergen
Lindt Excellence 90% - Lindt & sprüngli (nordic) - 100 g,chocolates,10 g,14 g,7 g,30 g,14 g,0.03 g,Processed foods,Not available
Ferrero - 350 g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,0 g,0.107 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Hazelnut Spread with Cocoa - Ferrero - 200 g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,-,0.107 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Compound Chocolate with MILK AND ALMONDS - Maruja - 150 g,chocolates,7.2 g,53 g,50 g,25 g,?,0.275 g,Nutri-Score E,"Allergens: Milk, Nuts, Soybeans"
Organic 70% Dark Chocolate Bar - Green & Black's - 90g,chocolates,9.1 g,36 g,29 g,25 g,10 g,0.01 g,Processed foods,"Allergens: Milk, Nuts, Soybeans"
Pâte à tartiner noisettes et cacao - Bonne Maman - 360 g,chocolates,6.7 g,53 g,51 g,5.2 g,3.3 g,0.1 g,Green-Score D,"Allergens: Milk, Nuts"
Intense Dark Organic Chocolate - Green & Black's - 90g,chocolates,10 g,24 g,14 g,30 g,13 g,0.13 g,Processed foods,"Allergens: Milk, Nuts"
Extra dark chocolate 74% cacao - Fin Carré - 100 g ℮,chocolates,9.9 g,32 g,26 g,26 g,?,0.02 g,Green-Score D,Allergens: Soybeans
Poulain grand arôme - 450 g,chocolates,7.1 g,63 g,61 g,7.74 g,1 g,0.245 g,Average impact of products of the same category: C (Score: 54/100),Allergens: Soybeans
Excellence 70% Cocoa Intense Dark - Lindt - 100 g,chocolates,9.5 g,34 g,30 g,24 g,-,0.1 g,Processed foods,Allergens: Soybeans
Excellence 85% Cacao Rich Dark - Lindt - 100 g,chocolates,12.5 g,22 g,14 g,27 g,-,0.02 g,Processed foods,Allergens: Soybeans
Dark Chocolate 70% - J.D. Gross - 125g,chocolates,8.8 g,32 g,27.2 g,24.8 g,12 g,0.08 g,Average impact of products of the same category: D (Score: 35/100),Allergens: Soybeans
Лешниково-какаов крем - Ferrero - 750 g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,3 g,0.107 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Nutella - Ferrero - 450 g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,?,0.11 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Nestlé Dessert - 205g,chocolates,6 g,50.7 g,46.4 g,20.2 g,7.3 g,0.01 g,Green-Score D,"Allergens: Milk, Nuts, Soybeans"
Ferrero - 600 g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,3 g,0.107 g,Green-Score D,"Allergens: Milk, Nuts, Soybeans"
High Protein Chocolate Flavour Pudding - Milbona - 200 gram,chocolates,10 g,5.2 g,4 g,1 g,?,0.3 g,Nutri-Score A,"Allergens: Milk, pt:isento-de-gluten"
Bio Chocolat Noir Cacao 70% - Fairglobe - 100 g,chocolates,8.5 g,35.3 g,28 g,25 g,11.1 g,0.01 g,Green-Score C,Allergens: Soybeans
Doux 70% noir subtil - Lindt - 100g,chocolates,7 g,33 g,29 g,29 g,?,0.025 g,Green-Score E,Allergens: Soybeans
Nesquik - Nestlé - 390 g,chocolates,5.1 g,78.9 g,75.1 g,1.6 g,7.7 g,0.41 g,Green-Score C,Allergens: Soybeans
Chocolat Noir 92% cacao - Dark Excellente - 100 g,chocolates,15 g,14 g,10 g,33 g,?,0 g,Average impact of products of the same category: D (Score: 35/100),"Allergens: Milk, Nuts, Soybeans"
"2 Bars Milk and Hazelnuts - Kinder - 43 g (2 x 21,5 g)",chocolates,8.6 g,49.5 g,41.2 g,17.3 g,2 g,0.272 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Ecuador dark chocolate - Tesco finest - 100g,chocolates,7 g,35 g,28 g,27 g,11 g,0.1 g,Green-Score D,"Allergens: Gluten, Milk, Nuts, Soybeans"
Nesquik Cocoa - Nestlé - 300,chocolates,5.1 g,78 g,75 g,1.6 g,7.7 g,0.44 g,Green-Score A,Allergens: Soybeans
Nutri+ avoine chocolat - Bjorg - 130 g,chocolates,8.2 g,61 g,17 g,3.2 g,7.6 g,0.61 g,Green-Score B,"Allergens: Eggs, Gluten"
Milk chocolate (35%) with soft nougat (16%) and caramel centre (27%) with fresh roasted peanuts (22%) - Snickers - 50 g,chocolates,8.6 g,60.5 g,51.8 g,7.9 g,4.3 g,0.629 g,Nutri-Score E,"Allergens: Eggs, Milk, Peanuts, Soybeans"
Toffifee 15er - Storck - 125 g,chocolates,4.8 g,47.1 g,39 g,10.2 g,?,0.212 g,Nutri-Score E,"Allergens: Milk, Nuts, Peanuts, Soybeans, Milk, Milk, Milk, Milk, Milk"
"Gerblé - Sugar Free Cocoa Chip Cookie, 130g (4.6oz) - 130 g",chocolates,8 g,61 g,0 g,3.3 g,8.9 g,0.21 g,Nutri-Score B,"Allergens: Gluten, Soybeans"
Dark milk chocolate - Tesco - 100g,chocolates,9.9 g,36.2 g,33.6 g,27.8 g,5.6 g,0.23 g,Processed foods,Allergens: Milk
Digestive Oats Choc - Gullón - 425 g,chocolates,7.6 g,61 g,22 g,2.2 g,6.5 g,1 g,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Soybeans, es:avena"
Caobel - Aiguebelle,chocolates,-13%,+26%,+46%,+22%,,-31%,Average impact of products of the same category: C (Score: 54/100),"Allergens: Gluten, Soybeans, es:avena"
Chocolate Negro - Dark Excelente - 100 g,chocolates,+81%,-60%,-59%,+31%,,-77%,Average impact of products of the same category: D (Score: 35/100),"Allergens: Milk, Nuts, Soybeans"
Le Choco - Nestlé - 500 g,chocolates,6.8 g,70.4 g,65.8 g,4.2 g,9.1 g,0.12 g,Average impact of products of the same category: C (Score: 54/100),Allergens: Soybeans
Hazelnut Spread with Cocoa - Ferrero - 400 g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,?,0.108 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Coco specialty - Confetteria Raffaello - 150 g,chocolates,7.4 g,38.6 g,33.6 g,29.5 g,?,0.267 g,Nutri-Score E,"Allergens: Gluten, Milk, Nuts, Soybeans"
Nutella - Ferrero - 900 g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,?,0.17 g,Green-Score D,"Allergens: Milk, Nuts, Soybeans"
Tagger - Bimo - 22g,chocolates,-45%,+18%,+57%,+27%,-35%,-63%,Average impact of products of the same category: B (Score: 63/100),"Allergens: Gluten, Milk, Soybeans"
Muesli avoine chocolat bio - Bjorg - 375 g,chocolates,+21%,-2%,-51%,-23%,+23%,-55%,Green-Score A,"Allergens: Gluten, Milk"
Crema de chocolate - LU - 300 g,chocolates,6.2 g,71 g,32 g,5.6 g,3.1 g,0.49 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Kinder Bueno White - FERRERO SCANDINAVIA AB - 39 g,chocolates,8.5 g,53 g,5.4 g,16.8 g,?,0.33 g,Average impact of products of the same category: D (Score: 42/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Nesquik - Nestlé - 300 g,chocolates,5.1 g,78.9 g,75.1 g,1.6 g,7.7 g,0.41 g,Green-Score C,Allergens: Soybeans
"Nestlé - Chocapic Cereal Organic, 375g (13.3oz) - 375 g",chocolates,8.8 g,72.3 g,22.5 g,1.6 g,7.9 g,0.22 g,Nutri-Score C,Allergens: Gluten
Chocapic Cereals - Nestlé - 430 g,chocolates,8.8 g,73.6 g,22.4 g,2 g,7.5 g,0.22 g,Nutri-Score C,Allergens: Gluten
Véritable Petit Écolier Chocolat au Lait - LU - 150 g (12x 12.5 g) e,chocolates,6.2 g,65 g,39 g,14 g,2.8 g,0.63 g,Green-Score C,"Allergens: Gluten, Milk, Soybeans"
Pâte à tartiner - Nutella - 220 g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,-,0.107 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
"Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres de 30 g - General Mills France - 150 g ℮",chocolates,9.5 g,50 g,23.3 g,8.8 g,10.1 g,0.93 g,Average impact of products of the same category: C (Score: 56/100),"Allergens: Gluten, Milk, Nuts, Peanuts, Soybeans"
Grand Arôme 32% de Cacao - Poulain - 450 g,chocolates,?,?,?,?,?,?,Green-Score A,"Allergens: Gluten, Milk, Nuts, Peanuts, Soybeans"
Dark Chocolate - Fin Carré - 100 g,chocolates,5.4 g,49.6 g,47.1 g,19.1 g,8.5 g,0.01 g,Green-Score C,Allergens: Soybeans
Toblerone - Mondeléz - 100 g,chocolates,5.6 g,61 g,60 g,17 g,2.4 g,0.12 g,Average impact of products of the same category: A (Score: 76/100),"Allergens: Eggs, Milk, Nuts, Soybeans"
Organic Milk Chocolate - Green & Black's - 90 g,chocolates,9.8 g,48 g,46 g,22 g,2.8 g,0.22 g,Green-Score C,"Allergens: Milk, Soybeans"
NESTLE CHOCAPIC Céréales 375g - 375 g,chocolates,8.9 g,73.6 g,22.4 g,1.3 g,7.7 g,0.22 g,Nutri-Score C,Allergens: Gluten
Tonik - Bimo - 121 g,chocolates,4.8 g,70 g,39 g,11 g,1 g,0.1 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Chocolat noir dégustation aux éclats de framboise (70% cacao) - J.D. GROSS - 125 g,chocolates,8 g,36.2 g,29 g,23.6 g,?,0.03 g,Average impact of products of the same category: A (Score: 76/100),Allergens: Soybeans
Ferrero Rocher - 375g,chocolates,8 g,44 g,39 g,14 g,?,0.153 g,Nutri-Score E,"Allergens: Gluten, Milk, Nuts, Soybeans"
Schokolade 85% Edelbitter mild - Lindt - 100g,chocolates,8.9 g,19 g,14 g,33 g,?,0.03 g,Processed foods,"Allergens: Gluten, Milk, Nuts, Soybeans"
