name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,nutrient_grade,allergen
Gaufres Côte d’Or - Lu,biscuits,5.08 g,59.3 g,35.2 g,< 0.424 g,17.8 g,0.042 g,Average impact of products of the same category: B (Score: 62/100),"Allergens: Apple, Orange"
Oreo - Cadbury - 43.75g g,biscuits,,+2%,+6%,-2%,,-43%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
masala munch 10rs - PepsiCo India holdings Pvt.Ltd - 44g,biscuits,6.4 g,56.8 g,0.4 g,0.1 g,0 g,0.25 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Milk, Nuts, Sesame seeds, Soybeans, Sulphur dioxide and sulphites"
BOURBON - Britannia - 60g,biscuits,5 g,72.7 g,35.1 g,10.1 g,?,0.298 g,Average impact of products of the same category: C (Score: 57/100),Allergens: Soybeans
Parle-G gold 75g - 50 g,biscuits,6.9 g,77.3 g,25.5 g,6 g,0 g,0.74 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Parle-G,biscuits,6.9 g,77.3 g,25.5 g,0 g,?,0.74 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Marie gold - Britannia - 73 g,biscuits,8.4 g,78.9 g,21.9 g,5.2 g,0 g,0.8 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites"
Jimjam 57g (57) - Britannia - 57 g,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites"
Nutri Choice - Britannia Digestive - 100 g,biscuits,9.1 g,68 g,13.1 g,0 g,7.3 g,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Puffcorn,biscuits,-1%,-8%,,+39%,,+11%,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Brit 50-50 maska chaska 40g (20) - Britannia,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites"
Sandwich Biscuit - Oreo,biscuits,5.3 g,71.4 g,37.9 g,9.8 g,?,1.05 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
Oreo Original - Oreo Biscuits - 123g g,biscuits,3.62 g,72.5 g,39.9 g,3.62 g,3.62 g,1.27 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Peanuts, Soybeans"
Hide & Seek - PARLE - 120g,biscuits,5.9 g,73.4 g,32.2 g,9.4 g,0 g,0 g,Average impact of products of the same category: C (Score: 57/100),Allergens: Gluten
Chilli Chatka 20rs - Kurkure - 75g,biscuits,5.6 g,55.8 g,2 g,15.8 g,?,1.808 g,Processed foods,Allergens: Gluten
Hide & Seek - Parle - 100g,biscuits,5.9 g,73.4 g,32.5 g,9.4 g,?,0.285 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
Parle-G - 250,biscuits,6.9 g,77.3 g,25.5 g,13 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Dark Fantasy Choco Fills - Sunfeast - 300g,biscuits,5.3 g,64.3 g,31.7 g,0.1 g,?,0.416 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Little Hearts Classic - Britannia - 75g,biscuits,7.4 g,70 g,24.4 g,0 g,?,0.778 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
5 star chocolate - 5star - 22g,biscuits,3.3 g,72.9 g,55.5 g,10.1 g,?,0.425 g,Nutri-Score E,"Allergens: Gluten, Milk, Soybeans"
Marie gold - Britannia,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Good day - Britannia,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Tiger Krunch ChocoChips - Britannia - 63 g,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Brit bourbon 150g (sys) - Britannia,biscuits,-29%,+13%,+57%,-100%,,-62%,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Nutri Choice - Britannia - 1kg,biscuits,8.6 g,68.4 g,14.4 g,10.2 g,6 g,1.158 g,Processed foods,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Milk Bikis - Britannia - 66.8,biscuits,7.4 g,77 g,26.4 g,6.5 g,0 g,0.76 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Kitkat mini chocolate coated wafer,biscuits,6.4 g,47.4 g,35.1 g,24.8 g,-,0.244 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Jimjam - Britannia - 138 g,biscuits,5 g,73 g,31.8 g,9.5 g,?,0.535 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk
Good Day - Cashew Cookies - Britannia - India,biscuits,7 g,67 g,22 g,3 g,0 g,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Marie Gold - Britannia - 250,biscuits,8.4 g,78.9 g,20 g,1.2 g,?,0.798 g,Average impact of products of the same category: A (Score: 75/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites"
Monaco Classic Biscuits - Parle,biscuits,7.9 g,68.8 g,8.4 g,9.7 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites"
"BRITANNIA nutri SUGAR, FREE - 300 g",biscuits,+51%,+5%,-98%,-28%,,-1%,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
POTATO WAFERS - balaji - 40,biscuits,6.4 g,53.8 g,0.4 g,16 g,?,?,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Parle - G,biscuits,7.09 g,78 g,24.8 g,6.21 g,1.77 g,0.754 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
ParleG gold 75 g - Parle,biscuits,6.7 g,75.9 g,27.7 g,6.8 g,?,0.702 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits - Mayora - 144g,biscuits,7.7 g,63.7 g,32.3 g,15.3 g,?,1.358 g,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
Sunfeast,biscuits,12.3 g,62.5 g,20.5 g,9.6 g,?,1.059 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Parle 20-20 Cashew Cookies - 35 g,biscuits,+6%,+1%,-11%,-3%,,-70%,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Waffy - choco flavoured wafer roll - Dukes - 250 g,biscuits,-26%,+19%,+50%,-52%,,,Average impact of products of the same category: B (Score: 69/100),"Allergens: Gluten, Milk, Soybeans"
Happy happy - Parl,biscuits,5.8 g,71.3 g,30.4 g,10.6 g,?,?,Not available,"Allergens: Gluten, Milk, Soybeans"
good day cashew cookies - Britannia - 120g,biscuits,?,67 g,22 g,24 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts"
