name,category,Protein,Carbohydrates,Sugar,Fat,Sodium,nutrient_grade,allergen,nutrient_score,grade
Gaufres Côte d’Or - Lu,biscuits,5.08,59.3,35.2,0.424,0.042,Average impact of products of the same category: B (Score: 62/100),"Allergens: Apple, Orange",62.0,B
Oreo - Cadbury - 43.75g g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",57.0,C
masala munch 10rs - PepsiCo India holdings Pvt.Ltd - 44g,biscuits,6.4,56.8,0.4,0.1,0.25,Average impact of products of the same category: A (Score: 87/100),"Allergens: Milk, Nuts, Sesame seeds, Soybeans, Sulphur dioxide and sulphites",87.0,A
BOURBON - Britannia - 60g,biscuits,5.0,72.7,35.1,10.1,0.298,Average impact of products of the same category: C (Score: 57/100),Allergens: Soybeans,57.0,C
Parle-G gold 75g - 50 g,biscuits,6.9,77.3,25.5,6.0,0.74,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Parle-G - 100g,biscuits,6.9,77.3,25.5,0.0,0.74,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Marie gold - Britannia - 73 g,biscuits,8.4,78.9,21.9,5.2,0.8,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites",70.0,B
Jimjam 57g (57) - Britannia - 57 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites",70.0,B
Nutri Choice - Britannia Digestive - 100 g,biscuits,9.1,68.0,13.1,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Puffcorn,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",87.0,A
Brit 50-50 maska chaska 40g (20) - Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites",70.0,B
Sandwich Biscuit - Oreo,biscuits,5.3,71.4,37.9,9.8,1.05,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
Oreo Original - Oreo Biscuits - 123g g,biscuits,3.62,72.5,39.9,3.62,1.27,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Peanuts, Soybeans",70.0,B
Hide & Seek - PARLE - 120g,biscuits,5.9,73.4,32.2,9.4,0.0,Average impact of products of the same category: C (Score: 57/100),Allergens: Gluten,57.0,C
Chilli Chatka 20rs - Kurkure - 75g,biscuits,5.6,55.8,2.0,15.8,1.808,Processed foods,Allergens: Gluten,,
Hide & Seek - Parle - 100g,biscuits,5.9,73.4,32.5,9.4,0.285,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
Parle-G - 250,biscuits,6.9,77.3,25.5,13.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Dark Fantasy Choco Fills - Sunfeast - 300g,biscuits,5.3,64.3,31.7,0.1,0.416,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans",57.0,C
Little Hearts Classic - Britannia - 75g,biscuits,7.4,70.0,24.4,0.0,0.778,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
5 star chocolate - 5star - 22g,biscuits,3.3,72.9,55.5,10.1,0.425,Nutri-Score E,"Allergens: Gluten, Milk, Soybeans",,
Marie gold - Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Good day - Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Tiger Krunch ChocoChips - Britannia - 63 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",67.0,B
Brit bourbon 150g (sys) - Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",70.0,B
Nutri Choice - Britannia - 1kg,biscuits,8.6,68.4,14.4,10.2,1.158,Processed foods,"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",,
Milk Bikis - Britannia - 66.8,biscuits,7.4,77.0,26.4,6.5,0.76,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Kitkat mini chocolate coated wafer,biscuits,6.4,47.4,35.1,24.8,0.244,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans",57.0,C
Jimjam - Britannia - 138 g,biscuits,5.0,73.0,31.8,9.5,0.535,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk,70.0,B
Good Day - Cashew Cookies - Britannia - India,biscuits,7.0,67.0,22.0,3.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans",70.0,B
Marie Gold - Britannia - 250,biscuits,8.4,78.9,20.0,1.2,0.798,Average impact of products of the same category: A (Score: 75/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites",75.0,A
Monaco Classic Biscuits - Parle,biscuits,7.9,68.8,8.4,9.7,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Sulphur dioxide and sulphites",70.0,B
"BRITANNIA nutri SUGAR, FREE - 300 g",biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
POTATO WAFERS - balaji - 40,biscuits,6.4,53.8,0.4,16.0,0.0,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",87.0,A
Parle - G,biscuits,7.09,78.0,24.8,6.21,0.754,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
ParleG gold 75 g - Parle,biscuits,6.7,75.9,27.7,6.8,0.702,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits - Mayora - 144g,biscuits,7.7,63.7,32.3,15.3,1.358,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk,87.0,A
Sunfeast,biscuits,12.3,62.5,20.5,9.6,1.059,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans",70.0,B
Parle 20-20 Cashew Cookies - 35 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans",70.0,B
Waffy - choco flavoured wafer roll - Dukes - 250 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 69/100),"Allergens: Gluten, Milk, Soybeans",69.0,B
Happy happy - Parl,biscuits,5.8,71.3,30.4,10.6,0.0,Not available,"Allergens: Gluten, Milk, Soybeans",,
good day cashew cookies - Britannia - 120g,biscuits,0.0,67.0,22.0,24.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts",70.0,B
BRITANNIA Cake Gobbles Fruity Fun - 110g,biscuits,6.1,58.0,27.1,0.1,0.21,Nutri-Score E,"Allergens: Eggs, Gluten",,
Good Day Butter Cookies (25) - Britannia - 60g,biscuits,6.8,69.5,19.0,0.0,0.615,Average impact of products of the same category: B (Score: 70/100),"Allergens: Eggs, Gluten",70.0,B
Tiger Krunch ChocoChips - Britannia - 31.5g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Eggs, Gluten",57.0,C
Brittania Gobbles Chocolate Cake - 110g,biscuits,6.0,56.0,29.5,10.0,0.0,Average impact of products of the same category: C (Score: 47/100),"Allergens: Eggs, Gluten, Milk",47.0,C
Britannia cake fruity fun - 50g,biscuits,6.1,58.0,27.1,0.1,0.535,Average impact of products of the same category: B (Score: 70/100),"Allergens: Eggs, Gluten",70.0,B
Doodh Biscuits - Patanjali - 35 g,biscuits,7.2,72.0,24.0,8.3,0.872,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Good day cashew cookies - Britannia - 200,biscuits,6.6,67.7,20.8,0.0,0.568,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Britannia Nutri Choice Oats - 75 g,biscuits,8.0,68.5,18.4,3.2,0.385,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans",70.0,B
Britannia Marie Gold Biscuits - 68 g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk, Nuts, Soybeans",,
Good Day Cashew Cookies Medium Pack 600g - Britannia - 600 g,biscuits,7.0,65.0,22.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans",70.0,B
Parle - 22g,biscuits,9.2,72.7,0.0,0.0,0.1,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans",70.0,B
Nutri Choice Digestive - Britannia - 50 g,biscuits,8.6,68.4,14.4,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Oatmeal cookies Sugar free - Unibic,biscuits,6.2,56.0,0.0,13.9,0.462,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Britannia bourbon 100g,biscuits,5.0,72.7,38.3,10.1,0.119,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Gobbless Choco Chill Cake - Britannia - 50 g,biscuits,6.0,56.0,28.7,10.0,0.0,Average impact of products of the same category: C (Score: 47/100),"Allergens: Gluten, Milk, Soybeans",47.0,C
britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Nutri choice Digestive - Britania,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
