name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,allergen,allergen_milk,allergen_nuts,allergen_soybeans,allergen_gluten,allergen_eggs,calculated_nutriscore,health_class
Lindt Excellence 90% - Lindt & sprüngli (nordic) - 100 g,chocolates,10.0,14.0,7.0,29.935,14.0,0.03,,0,0,0,0,0,1,Beneficial
Ferrero - 350 g,chocolates,6.3,57.5,56.3,10.6,0.0,0.107,"Allergens: Milk, Nuts, Soybeans",1,1,1,0,0,3,Harmful
Hazelnut Spread with Cocoa - Ferrero - 200 g,chocolates,6.3,57.5,56.3,10.6,9.592805687203793,0.107,"Allergens: Milk, Nuts, Soybeans",1,1,1,0,0,2,Neutral
Compound Chocolate with MILK AND ALMONDS - Maruja - 150 g,chocolates,7.2,53.0,50.0,25.0,9.592805687203793,0.275,"Allergens: Milk, Nuts, Soybeans",1,1,1,0,0,3,Harmful
Organic 70% Dark Chocolate Bar - Green & Black's - 90g,chocolates,9.1,36.0,29.0,25.0,10.0,0.01,"Allergens: Milk, Nuts, Soybeans",1,1,1,0,0,2,Neutral
Pâte à tartiner noisettes et cacao - Bonne Maman - 360 g,chocolates,6.7,53.0,51.0,5.2,3.3,0.1,"Allergens: Milk, Nuts",1,1,0,0,0,3,Harmful
Intense Dark Organic Chocolate - Green & Black's - 90g,chocolates,10.0,24.0,14.0,29.935,13.0,0.13,"Allergens: Milk, Nuts",1,1,0,0,0,2,Neutral
Extra dark chocolate 74% cacao - Fin Carré - 100 g ℮,chocolates,9.9,32.0,26.0,26.0,9.592805687203793,0.02,Allergens: Soybeans,0,0,1,0,0,2,Neutral
Poulain grand arôme - 450 g,chocolates,7.1,63.0,61.0,7.74,1.0,0.245,Allergens: Soybeans,0,0,1,0,0,3,Harmful
Excellence 70% Cocoa Intense Dark - Lindt - 100 g,chocolates,9.5,34.0,30.0,24.0,9.592805687203793,0.1,Allergens: Soybeans,0,0,1,0,0,2,Neutral
Excellence 85% Cacao Rich Dark - Lindt - 100 g,chocolates,12.5,22.0,14.0,27.0,9.592805687203793,0.02,Allergens: Soybeans,0,0,1,0,0,1,Beneficial
Dark Chocolate 70% - J.D. Gross - 125g,chocolates,8.8,32.0,27.2,24.8,12.0,0.08,Allergens: Soybeans,0,0,1,0,0,2,Neutral
Лешниково-какаов крем - Ferrero - 750 g,chocolates,6.3,57.5,56.3,10.6,3.0,0.107,"Allergens: Milk, Nuts, Soybeans",1,1,1,0,0,3,Harmful
Nutella,chocolates,6.3,57.5,56.3,10.6,9.592805687203793,0.11,"Allergens: Milk, Nuts, Soybeans",1,1,1,0,0,2,Neutral
